RDF,Out_Degree,In_Degree,Degree
Q151991,7,16,23
Q152002,9,2,11
Q152025,36,2,38
Q152043,48,3,51
Q152079,4,1,5
Q152082,10,6,16
Q152087,28,9,37
Q152165,19,10,29
Q152171,22,2,24
Q152178,39,6,45
Q152218,7,2,9
Q152234,8,7,15
Q152245,0,6,6
Q152283,4,6,10
Q152309,16,5,21
Q152337,7,5,12
Q152388,41,1,42
Q152433,19,3,22
Q152456,63,1,64
Q152493,33,1,34
Q152499,6,3,9
Q152505,48,5,53
Q152531,53,0,53
Q152542,11,8,19
Q152559,1,16,17
Q152750,0,5,5
Q152768,38,0,38
Q152772,3,0,3
Q152773,12,6,18
Q152780,47,2,49
Q152838,23,10,33
Q152843,25,2,27
Q152857,40,1,41
Q152891,7,5,12
Q152929,34,6,40
Q152989,6,5,11
Q153006,18,0,18
Q153015,21,12,33
Q153018,32,6,38
Q153056,8,8,16
Q153080,1,4,5
Q153091,1,4,5
Q153128,2,6,8
Q153136,10,15,25
Q153172,36,1,37
Q153265,22,5,27
Q153312,1,4,5
Q153332,9,7,16
Q153468,5,6,11
Q153481,13,0,13
Q153484,34,2,36
Q153529,16,7,23
Q153535,6,0,6
Q153579,46,6,52
Q153616,7,0,7
Q153626,7,0,7
Q153647,7,1,8
Q153723,68,0,68
Q153815,2,3,5
Q153882,31,1,32
Q153943,1,4,5
Q153987,16,9,25
Q154053,6,0,6
Q154077,44,2,46
Q154136,2,8,10
Q154182,6,6,12
Q154195,18,14,32
Q154216,28,0,28
Q154293,5,0,5
Q154401,19,5,24
Q154421,33,7,40
Q154430,0,5,5
Q154454,16,10,26
Q154490,17,9,26
Q154519,18,2,20
Q154549,0,4,4
Q154561,18,8,26
Q154581,58,2,60
Q154590,3,41,44
Q154611,2,5,7
Q154690,5,6,11
Q154697,3,7,10
Q154720,3,12,15
Q154741,14,14,28
Q154756,28,3,31
Q154770,33,2,35
Q154804,17,7,24
Q154849,10,4,14
Q154874,22,0,22
Q154935,24,0,24
Q154958,5,12,17
Q155009,0,8,8
Q155018,36,1,37
Q155076,0,9,9
Q155079,32,4,36
Q155124,14,7,21
Q155144,20,3,23
Q155152,12,52,64
Q155163,37,0,37
Q155174,1,5,6
Q155186,6,0,6
Q155218,5,0,5
Q155299,1,4,5
Q155354,12,3,15
Q155378,13,8,21
Q155412,30,2,32
Q155423,15,6,21
Q155559,36,0,36
Q155570,0,5,5
Q155629,42,3,45
Q155647,2,4,6
Q155653,35,4,39
Q155700,28,5,33
Q155723,3,8,11
Q155730,5,0,5
Q155753,32,0,32
Q155775,19,9,28
Q155805,7,0,7
Q155879,18,0,18
Q156031,7,6,13
Q156035,2,11,13
Q156069,36,0,36
Q156106,19,7,26
Q156111,12,5,17
Q156150,0,5,5
Q156156,9,3,12
Q156163,4,1,5
Q156177,5,5,10
Q156181,9,3,12
Q156188,3,6,9
Q156191,6,2,8
Q156193,47,1,48
Q156199,13,9,22
Q156213,4,1,5
Q156220,0,5,5
Q156257,10,3,13
Q156287,7,2,9
Q156291,7,5,12
Q156297,7,2,9
Q156300,22,4,26
Q156305,17,7,24
Q156306,4,1,5
Q156309,35,0,35
Q156340,0,5,5
Q156342,8,2,10
Q156344,0,6,6
Q156346,9,2,11
Q156350,11,2,13
Q156353,6,6,12
Q156358,3,6,9
Q156361,5,4,9
Q156366,9,2,11
Q156370,0,5,5
Q156374,9,4,13
Q156377,0,6,6
Q156385,2,3,5
Q156401,26,0,26
Q156459,7,4,11
Q156478,8,19,27
Q156519,57,0,57
Q156532,22,6,28
Q156552,26,9,35
Q156566,11,3,14
Q156586,0,5,5
Q156597,46,0,46
Q156598,18,7,25
Q156608,47,1,48
Q156623,9,3,12
Q156629,9,2,11
Q156635,17,9,26
Q156687,4,11,15
Q156725,18,1,19
Q156737,18,0,18
Q156796,19,10,29
Q156831,4,5,9
Q156835,3,6,9
Q156839,2,2,4
Q156843,7,11,18
Q156872,9,6,15
Q156901,7,6,13
Q156913,0,5,5
Q156935,0,6,6
Q156969,15,17,32
Q157041,12,4,16
Q157044,60,0,60
Q157070,9,4,13
Q157124,0,7,7
Q157148,4,1,5
Q157217,7,0,7
Q157256,19,1,20
Q157297,4,11,15
Q157352,7,0,7
Q157353,17,5,22
Q157367,9,12,21
Q157376,6,3,9
Q157394,4,273,277
Q157443,3,407,410
Q157508,10,6,16
Q157575,15,2,17
Q157650,4,7,11
Q157658,0,18,18
Q157663,18,7,25
Q157749,0,19,19
Q157755,6,7,13
Q157756,16,5,21
Q157763,15,5,20
Q157803,9,2,11
Q157808,26,2,28
Q157819,14,10,24
Q157879,54,0,54
Q157922,6,6,12
Q157957,0,17,17
Q157969,8,8,16
Q157980,4,5,9
Q158008,30,8,38
Q158015,20,9,29
Q158023,44,0,44
Q158112,2,5,7
Q158121,5,0,5
Q158136,13,5,18
Q158175,29,1,30
Q158214,11,1,12
Q158233,15,2,17
Q158250,35,7,42
Q158266,6,2,8
Q158289,16,11,27
Q158348,49,0,49
Q158383,17,8,25
Q158398,24,0,24
Q158474,31,0,31
Q158657,0,5,5
Q158695,8,16,24
Q158711,22,12,34
Q158722,0,5,5
Q158745,13,1,14
Q158753,0,3,3
Q158759,34,0,34
Q158852,9,109,118
Q158861,28,1,29
Q158867,8,1,9
Q158886,5,5,10
Q158957,28,3,31
Q159002,10,5,15
Q159054,47,0,47
Q159063,79,0,79
Q159094,8,6,14
Q159115,5,5,10
Q159166,18,1,19
Q159181,5,10,15
Q159191,9,9,18
Q159232,8,7,15
Q159260,11,4,15
Q159288,8,22,30
Q159294,2,6,8
Q159334,1,4,5
Q159347,19,3,22
Q159354,4,4,8
Q159438,10,5,15
Q159464,2,5,7
Q159577,21,5,26
Q159631,2,5,7
Q159638,38,0,38
Q159659,3,7,10
Q159661,5,31,36
Q159702,7,6,13
Q159729,5,3,8
Q159736,12,11,23
Q159753,7,10,17
Q159770,4,6,10
Q159778,27,18,45
Q159821,3,55,58
Q159846,14,292,306
Q159870,36,0,36
Q159884,0,5,5
Q159893,5,1,6
Q159936,5,0,5
Q159998,8,2,10
Q160009,45,8,53
Q160060,68,3,71
Q160071,37,3,40
Q160082,9,15,24
Q160112,6,0,6
Q160114,14,7,21
Q160215,47,1,48
Q160236,11,2,13
Q160284,0,6,6
Q160302,22,13,35
Q160307,3,2,5
Q160392,10,7,17
Q160432,24,24,48
Q160493,11,2,13
Q160528,38,10,48
Q160534,21,3,24
Q160560,38,1,39
Q160575,4,9,13
Q160618,59,1,60
Q160642,13,5,18
Q160678,2,5,7
Q160726,42,26,68
Q160774,0,5,5
Q160793,28,0,28
Q160813,5,13,18
Q160826,21,0,21
Q160894,16,5,21
Q161034,5,0,5
Q161036,22,5,27
Q161087,60,1,61
Q161093,10,17,27
Q161098,13,12,25
Q161117,13,8,21
Q161159,16,8,24
Q161243,0,11,11
Q161337,5,2,7
Q161345,5,2,7
Q161372,4,7,11
Q161376,8,0,8
Q161400,35,1,36
Q161426,18,22,40
Q161491,9,12,21
Q161508,3,5,8
Q161549,10,7,17
Q161562,18,11,29
Q161565,6,12,18
Q161652,6,15,21
Q161677,21,5,26
Q161726,1,6,7
Q161733,5,5,10
Q161819,44,12,56
Q161877,27,3,30
Q161885,29,66,95
Q161916,22,28,50
Q162093,5,11,16
Q162182,47,1,48
Q162255,45,3,48
Q162277,47,1,48
Q162371,16,5,21
Q162389,31,5,36
Q162442,14,1,15
Q162475,12,6,18
Q162486,5,7,12
Q162492,34,19,53
Q162518,59,0,59
Q162554,11,6,17
Q162555,4,18,22
Q162578,16,6,22
Q162586,8,2,10
Q162621,18,6,24
Q162629,18,3,21
Q162633,0,5,5
Q162656,3,75,78
Q162667,53,3,56
Q162672,34,0,34
Q162729,58,1,59
Q162774,5,8,13
Q162791,17,8,25
Q162932,4,1,5
Q162954,6,3,9
Q162959,20,6,26
Q162990,5,2,7
Q163038,33,3,36
Q163076,13,6,19
Q163132,16,9,25
Q163209,3,5,8
Q163239,10,6,16
Q163249,25,10,35
Q163262,4,5,9
Q163263,20,4,24
Q163286,19,10,29
Q163366,23,2,25
Q163374,6,5,11
Q163480,6,1,7
Q163534,11,1,12
Q163547,7,3,10
Q163569,9,8,17
Q163578,3,5,8
Q163584,9,2,11
Q163700,7,17,24
Q163727,17,17,34
Q163740,6,50,56
Q163749,6,3,9
Q163759,9,4,13
Q163798,6,0,6
Q163829,2,41,43
Q163872,77,4,81
Q163934,2,8,10
Q164043,6,5,11
Q164079,16,8,24
Q164089,23,1,24
Q164091,18,6,24
Q164103,58,4,62
Q164110,4,7,11
Q164117,25,5,30
Q164119,28,19,47
Q164134,16,1,17
Q164177,6,3,9
Q164181,10,12,22
Q164200,4,13,17
Q164204,0,5,5
Q164236,6,7,13
Q164256,9,0,9
Q164328,13,15,28
Q164380,11,3,14
Q164417,26,1,27
Q164421,8,8,16
Q164432,0,5,5
Q164444,4,53,57
Q164487,19,5,24
Q164562,0,5,5
Q164702,28,0,28
Q164723,25,1,26
Q164730,14,5,19
Q164782,20,13,33
Q164813,47,1,48
Q164963,60,3,63
Q164975,2,5,7
Q164983,4,9,13
Q165040,15,4,19
Q165091,2,11,13
Q165137,8,20,28
Q165141,14,0,14
Q165154,18,12,30
Q165191,10,18,28
Q165192,11,4,15
Q165219,45,25,70
Q165283,15,9,24
Q165296,15,5,20
Q165313,53,30,83
Q165325,47,1,48
Q165328,4,1,5
Q165357,18,2,20
Q165378,10,9,19
Q165392,51,1,52
Q165394,29,0,29
Q165399,12,0,12
Q165403,7,6,13
Q165421,23,6,29
Q165436,0,5,5
Q165467,28,2,30
Q165479,15,1,16
Q165518,32,21,53
Q165524,18,19,37
Q165529,5,1,6
Q165557,23,4,27
Q165627,37,0,37
Q165651,46,1,47
Q165666,6,2,8
Q165686,12,0,12
Q165699,37,0,37
Q165711,8,18,26
Q165713,51,1,52
Q165745,10,54,64
Q165817,73,1,74
Q165862,7,0,7
Q165911,27,10,37
Q165950,6,10,16
Q165972,3,11,14
Q165980,14,14,28
Q166000,0,5,5
Q166031,23,0,23
Q166105,5,0,5
Q166118,0,10,10
Q166121,7,14,21
Q166131,10,1,11
Q166159,33,4,37
Q166196,15,0,15
Q166197,0,2,2
Q166231,7,3,10
Q166262,62,2,64
Q166272,36,30,66
Q166280,0,6,6
Q166304,6,2,8
Q166389,37,20,57
Q166419,9,36,45
Q166462,38,1,39
Q166542,4,2,6
Q166546,6,21,27
Q166565,19,1,20
Q166714,26,0,26
Q166747,4,19,23
Q166755,13,0,13
Q166776,17,0,17
Q166788,4,1,5
Q166843,14,8,22
Q166887,13,13,26
Q166902,4,6,10
Q167037,8,12,20
Q167155,9,5,14
Q167214,6,1,7
Q167253,5,1,6
Q167270,7,8,15
Q167432,17,1,18
Q167437,50,0,50
Q167498,21,6,27
Q167520,47,26,73
Q167636,12,5,17
Q167656,6,1,7
Q167683,21,10,31
Q167696,32,3,35
Q167715,8,8,16
Q167733,14,7,21
Q167821,35,5,40
Q168000,15,7,22
Q168010,33,0,33
Q168360,11,0,11
Q168383,10,239,249
Q168397,11,0,11
Q168407,12,15,27
Q168504,4,1,5
Q168515,22,3,25
Q168651,11,0,11
Q168708,62,0,62
Q168721,27,14,41
Q168724,49,26,75
Q168740,20,0,20
Q168751,26,11,37
Q168756,31,41,72
Q168763,25,12,37
Q168778,4,3,7
Q168847,28,5,33
Q168862,39,0,39
Q168983,4,4,8
Q168992,26,5,31
Q169000,26,0,26
Q169132,6,8,14
Q169138,5,5,10
Q169165,5,1,6
Q169452,54,8,62
Q169470,4,33,37
Q169564,29,0,29
Q169566,28,8,36
Q169637,5,4,9
Q169661,5,2,7
Q169872,5,12,17
Q169889,9,54,63
Q169906,20,3,23
Q169923,15,3,18
Q169943,7,6,13
Q169946,23,5,28
Q169952,8,3,11
Q169963,16,8,24
Q169982,15,10,25
Q169985,3,2,5
Q169997,9,2,11
Q170018,4,3,7
Q170027,13,32,45
Q170035,29,2,31
Q170040,4,0,4
Q170072,20,13,33
Q170075,2,5,7
Q170082,11,6,17
Q170105,6,1,7
Q170115,7,2,9
Q170117,3,0,3
Q170134,6,0,6
Q170156,4,15,19
Q170174,19,16,35
Q170208,12,5,17
Q170238,4,27,31
Q170241,9,2,11
Q170250,46,0,46
Q170263,11,6,17
Q170314,3,9,12
Q170322,11,2,13
Q170327,7,0,7
Q170329,5,1,6
Q170373,31,0,31
Q170375,4,1,5
Q170377,10,4,14
Q170403,5,0,5
Q170416,14,6,20
Q170420,8,0,8
Q170424,7,187,194
Q170428,37,27,64
Q170433,8,4,12
Q170435,3,4,7
Q170447,4,1,5
Q170478,9,6,15
Q170479,12,0,12
Q170481,5,22,27
Q170497,11,2,13
Q170509,37,12,49
Q170510,45,27,72
Q170515,37,4,41
Q170530,26,13,39
Q170538,2,14,16
Q170539,10,7,17
Q170545,44,4,48
Q170558,5,1,6
Q170564,64,2,66
Q170566,9,1,10
Q170571,4,5,9
Q170572,35,24,59
Q170574,24,11,35
Q170576,32,10,42
Q170581,25,1,26
Q170584,0,5,5
Q170587,25,25,50
Q170606,20,8,28
Q170611,3,13,16
Q170612,7,1,8
Q170614,4,0,4
Q170645,5,21,26
Q170649,5,0,5
Q170703,17,0,17
Q170790,5,30,35
Q170826,8,14,22
Q170895,0,5,5
Q170972,3,0,3
Q171048,34,7,41
Q171091,29,7,36
Q171150,19,9,28
Q171224,9,5,14
Q171254,29,0,29
Q171300,50,2,52
Q171337,1,0,1
Q171363,43,19,62
Q171393,10,0,10
Q171401,3,13,16
Q171441,1,8,9
Q171453,59,4,63
Q171497,18,21,39
Q171571,22,5,27
Q171669,50,4,54
Q171736,31,28,59
Q171745,24,24,48
Q171758,22,5,27
Q171771,6,1,7
Q171861,67,1,68
Q171866,8,1,9
Q171905,42,21,63
Q172014,8,0,8
Q172020,12,0,12
Q172025,14,1,15
Q172035,22,12,34
Q172044,19,14,33
Q172107,24,13,37
Q172140,34,7,41
Q172157,15,7,22
Q172221,7,0,7
Q172241,51,1,52
Q172247,3,0,3
Q172261,27,23,50
Q172303,23,6,29
Q172339,5,1,6
Q172341,4,9,13
Q172430,8,0,8
Q172435,4,0,4
Q172438,10,1,11
Q172455,11,4,15
Q172476,5,2,7
Q172540,0,5,5
Q172544,28,0,28
Q172579,37,54,91
Q172640,13,3,16
Q172653,36,21,57
Q172678,26,34,60
Q172771,7,1,8
Q172803,5,0,5
Q172969,3,0,3
Q172975,53,1,54
Q172980,3,47,50
Q173009,6,0,6
Q173061,34,1,35
Q173158,44,24,68
Q173332,10,5,15
Q173395,19,2,21
Q173399,26,8,34
Q173417,0,5,5
Q173453,7,5,12
Q173491,13,3,16
Q173496,6,3,9
Q173500,13,4,17
Q173585,32,14,46
Q173637,27,3,30
Q173670,121,2,123
Q173799,4,19,23
Q173804,53,0,53
Q173813,9,6,15
Q173941,8,13,21
Q173950,2,0,2
Q173998,0,5,5
Q174009,0,5,5
Q174091,9,2,11
Q174158,8,4,12
Q174193,31,148,179
Q174224,11,3,14
Q174263,9,6,15
Q174284,56,1,57
Q174291,10,0,10
Q174306,14,2,16
Q174311,30,11,41
Q174346,17,10,27
Q174371,32,0,32
Q174385,52,1,53
Q174389,4,47,51
Q174423,4,0,4
Q174526,3,16,19
Q174555,21,3,24
Q174570,19,9,28
Q174648,14,0,14
Q174699,46,0,46
Q174710,34,129,163
Q174769,8,1,9
Q174811,30,1,31
Q174817,16,4,20
Q174843,37,19,56
Q174844,2,33,35
Q174908,26,15,41
Q174957,27,1,28
Q175078,23,4,27
Q175104,27,4,31
Q175111,4,3,7
Q175142,22,3,25
Q175195,61,13,74
Q175235,30,7,37
Q175278,38,1,39
Q175284,0,7,7
Q175309,11,0,11
Q175315,6,5,11
Q175535,32,30,62
Q175687,4,0,4
Q176028,8,6,14
Q176126,21,12,33
Q176277,10,8,18
Q176323,19,9,28
Q176324,7,8,15
Q176370,25,0,25
Q176371,5,0,5
Q176410,6,5,11
Q176455,24,9,33
Q176495,13,10,23
Q176826,36,0,36
Q176883,5,50,55
Q176945,10,9,19
Q177220,9,997,1006
Q177275,5,0,5
Q177311,23,11,34
Q177374,34,1,35
Q177413,14,10,24
Q177439,0,5,5
Q177634,1,4,5
Q177773,7,7,14
Q177922,32,0,32
Q177930,50,0,50
Q177932,12,15,27
Q177984,20,7,27
Q178010,17,5,22
Q178093,7,2,9
Q178095,19,9,28
Q178112,24,0,24
Q178115,13,12,25
Q178134,10,1,11
Q178145,3,2,5
Q178166,23,9,32
Q178169,12,16,28
Q178180,3,0,3
Q178194,13,1,14
Q178197,10,1,11
Q178283,14,5,19
Q178348,23,12,35
Q178416,11,7,18
Q178430,5,2,7
Q178450,101,2,103
Q178473,3,8,11
Q178517,33,0,33
Q178549,31,4,35
Q178552,25,16,41
Q178561,1,9,10
Q178598,2,1,3
Q178626,10,5,15
Q178651,1,1,2
Q178678,3,5,8
Q178698,42,2,44
Q178790,6,5,11
Q178812,0,1,1
Q178824,10,2,12
Q178837,8,5,13
Q178848,27,8,35
Q178882,30,7,37
Q178903,34,8,42
Q178966,32,0,32
Q178975,6,1,7
Q179012,3,0,3
Q179018,48,0,48
Q179023,1,4,5
Q179029,8,1,9
Q179036,10,11,21
Q179041,24,7,31
Q179051,36,7,43
Q179075,4,0,4
Q179157,16,2,18
Q179164,3,53,56
Q179191,4,184,188
Q179200,12,126,138
Q179215,43,0,43
Q179224,10,2,12
Q179250,10,5,15
Q179257,23,2,25
Q179269,24,5,29
Q179275,3,7,10
Q179310,5,8,13
Q179325,11,2,13
Q179351,14,21,35
Q179385,16,4,20
Q179406,6,0,6
Q179414,12,7,19
Q179424,9,3,12
Q179437,13,2,15
Q179460,29,0,29
Q179461,2,3,5
Q179497,49,43,92
Q179503,29,1,30
Q179555,7,6,13
Q179631,24,1,25
Q179645,14,9,23
Q179657,9,13,22
Q179673,52,3,55
Q179687,4,0,4
Q179805,3,14,17
Q179808,4,56,60
Q179815,8,3,11
Q179840,6,0,6
Q179872,5,22,27
Q179876,22,62,84
Q179894,6,0,6
Q179975,4,6,10
Q179997,1,7,8
Q180004,29,3,32
Q180057,15,2,17
Q180098,53,2,55
Q180187,7,0,7
Q180214,38,3,41
Q180224,66,8,74
Q180228,37,3,40
Q180231,12,2,14
Q180252,17,3,20
Q180268,5,39,44
Q180272,29,10,39
Q180279,31,0,31
Q180305,5,2,7
Q180337,37,0,37
Q180338,45,23,68
Q180341,10,0,10
Q180374,32,1,33
Q180377,19,3,22
Q180393,13,7,20
Q180395,28,0,28
Q180420,3,0,3
Q180453,99,7,106
Q180560,28,34,62
Q180563,5,5,10
Q180573,14,3,17
Q180614,7,8,15
Q180615,3,13,16
Q180619,37,1,38
Q180645,12,0,12
Q180665,29,10,39
Q180673,1,48,49
Q180675,6,1,7
Q180684,0,6,6
Q180692,4,1,5
Q180704,0,5,5
Q180727,37,3,40
Q180729,0,5,5
Q180733,10,0,10
Q180744,5,0,5
Q180762,9,4,13
Q180774,2,4,6
Q180788,5,0,5
Q180800,3,0,3
Q180803,8,2,10
Q180813,5,1,6
Q180816,1,16,17
Q180845,13,0,13
Q180850,25,3,28
Q180852,18,8,26
Q180856,4,4,8
Q180857,6,5,11
Q180861,34,0,34
Q180865,24,18,42
Q180919,22,3,25
Q180942,22,13,35
Q180950,8,2,10
Q180958,5,12,17
Q180962,63,8,71
Q180975,39,3,42
Q181001,3,3,6
Q181003,81,2,83
Q181010,4,10,14
Q181015,7,2,9
Q181069,48,2,50
Q181086,46,0,46
Q181095,10,22,32
Q181114,6,2,8
Q181136,6,2,8
Q181138,4,0,4
Q181140,14,6,20
Q181185,8,1,9
Q181216,5,0,5
Q181229,17,5,22
Q181247,5,6,11
Q181257,3,32,35
Q181322,0,5,5
Q181410,5,5,10
Q181413,11,19,30
Q181425,16,5,21
Q181461,7,3,10
Q181490,22,6,28
Q181508,1,15,16
Q181533,1,3,4
Q181540,57,1,58
Q181555,40,1,41
Q181557,9,2,11
Q181634,4,7,11
Q181659,99,27,126
Q181677,44,15,59
Q181678,31,6,37
Q181683,28,2,30
Q181754,10,90,100
Q181765,6,1,7
Q181774,25,7,32
Q181776,35,0,35
Q181784,1,4,5
Q181787,1,10,11
Q181795,52,3,55
Q181799,20,15,35
Q181803,53,0,53
Q181819,22,4,26
Q181861,6,5,11
Q181862,6,4,10
Q181882,7,5,12
Q181883,55,75,130
Q181887,20,6,26
Q181899,26,6,32
Q181900,40,26,66
Q181903,8,1,9
Q181907,2,5,7
Q181912,6,0,6
Q181917,24,9,33
Q181923,6,0,6
Q181930,9,0,9
Q181936,20,11,31
Q181962,15,5,20
Q181995,23,5,28
Q182000,2,6,8
Q182010,2,0,2
Q182015,4,44,48
Q182059,9,0,9
Q182104,27,7,34
Q182153,25,3,28
Q182154,1,36,37
Q182212,52,2,54
Q182218,67,1,68
Q182223,32,4,36
Q182254,35,0,35
Q182372,17,6,23
Q182373,41,0,41
Q182408,28,6,34
Q182415,2,12,14
Q182431,20,7,27
Q182436,3,11,14
Q182450,30,12,42
Q182455,0,4,4
Q182500,3,17,20
Q182538,3,0,3
Q182580,23,4,27
Q182589,27,4,31
Q182591,9,4,13
Q182625,11,7,18
Q182637,0,5,5
Q182655,32,2,34
Q182659,8,4,12
Q182665,41,1,42
Q182688,3,6,9
Q182692,52,4,56
Q182725,30,2,32
Q182727,40,0,40
Q182743,8,5,13
Q182763,36,16,52
Q182814,5,17,22
Q182865,7,25,32
Q182870,23,9,32
Q182876,3,2,5
Q182881,6,19,25
Q182890,8,1,9
Q182923,6,1,7
Q182930,4,0,4
Q182931,7,6,13
Q182933,2,8,10
Q182944,63,2,65
Q182950,15,9,24
Q182973,27,20,47
Q183032,10,3,13
Q183039,0,5,5
Q183048,16,11,27
Q183063,38,4,42
Q183066,52,2,54
Q183081,60,2,62
Q183092,21,4,25
Q183102,6,4,10
Q183134,10,12,22
Q183141,27,17,44
Q183167,51,9,60
Q183178,13,13,26
Q183206,1,10,11
Q183239,63,2,65
Q183257,3,3,6
Q183263,12,4,16
Q183290,108,2,110
Q183308,3,0,3
Q183314,7,4,11
Q183326,3,0,3
Q183337,37,2,39
Q183344,4,3,7
Q183347,16,3,19
Q183366,1,4,5
Q183387,8,175,183
Q183412,18,60,78
Q183416,10,7,17
Q183425,3,8,11
Q183468,3,0,3
Q183492,87,4,91
Q183497,2,6,8
Q183498,0,6,6
Q183504,6,27,33
Q183513,41,4,45
Q183528,16,1,17
Q183532,44,7,51
Q183539,7,5,12
Q183542,15,4,19
Q183544,13,4,17
Q183551,8,3,11
Q183555,54,0,54
Q183674,5,6,11
Q183816,10,7,17
Q183862,5,4,9
Q183945,4,337,341
Q183976,1,2,3
Q184090,0,6,6
Q184103,28,14,42
Q184116,6,11,17
Q184163,13,4,17
Q184172,8,8,16
Q184217,12,11,23
Q184219,24,8,32
Q184226,38,0,38
Q184249,29,2,31
Q184378,19,3,22
Q184382,0,8,8
Q184386,11,11,22
Q184387,8,0,8
Q184407,5,0,5
Q184425,16,24,40
Q184445,7,6,13
Q184469,7,5,12
Q184478,18,24,42
Q184485,6,45,51
Q184558,7,29,36
Q184572,31,22,53
Q184587,12,10,22
Q184594,11,6,17
Q184599,12,3,15
Q184602,9,0,9
Q184612,24,0,24
Q184618,10,7,17
Q184644,8,18,26
Q184697,53,2,55
Q184760,8,4,12
Q184768,67,4,71
Q184775,9,5,14
Q184781,3,52,55
Q184785,18,1,19
Q184805,28,10,38
Q184843,52,2,54
Q184885,14,3,17
Q184903,18,17,35
Q185003,9,0,9
Q185051,32,21,53
Q185059,12,1,13
Q185071,46,1,47
Q185079,14,25,39
Q185122,18,7,25
Q185140,42,13,55
Q185147,22,0,22
Q185163,5,0,5
Q185165,47,5,52
Q185221,9,1,10
Q185246,14,4,18
Q185278,12,7,19
Q185298,8,1,9
Q185299,6,93,99
Q185343,37,1,38
Q185351,5,20,25
Q185458,6,2,8
Q185465,31,4,35
Q185490,37,0,37
Q185493,6,32,38
Q185554,15,6,21
Q185582,7,6,13
Q185591,4,1,5
Q185610,47,5,52
Q185654,0,5,5
Q185667,5,0,5
Q185724,35,25,60
Q185729,2,13,15
Q185832,30,5,35
Q185836,0,5,5
Q185851,6,2,8
Q185867,4,32,36
Q185888,60,2,62
Q185928,36,7,43
Q186012,8,1,9
Q186047,11,1,12
Q186068,12,0,12
Q186080,4,14,18
Q186093,17,2,19
Q186096,10,13,23
Q186125,7,14,21
Q186170,5,3,8
Q186190,4,0,4
Q186219,65,2,67
Q186222,4,0,4
Q186243,5,0,5
Q186252,3,0,3
Q186262,5,0,5
Q186268,3,0,3
Q186284,2,10,12
Q186285,8,4,12
Q186304,29,4,33
Q186320,25,11,36
Q186323,39,1,40
Q186327,30,5,35
Q186335,23,3,26
Q186341,41,0,41
Q186360,3,6,9
Q186424,5,21,26
Q186451,2,6,8
Q186472,6,54,60
Q186485,62,11,73
Q186504,32,0,32
Q186506,7,0,7
Q186521,107,4,111
Q186532,5,0,5
Q186545,2,5,7
Q186579,12,6,18
Q186587,44,1,45
Q186591,3,0,3
Q186606,15,1,16
Q186610,1,6,7
Q186652,26,6,32
Q186690,3,0,3
Q186702,9,4,13
Q186757,23,18,41
Q186785,5,1,6
Q186810,12,0,12
Q186889,4,5,9
Q186896,12,5,17
Q186914,3,0,3
Q186941,10,232,242
Q187019,75,5,80
Q187033,32,11,43
Q187038,27,6,33
Q187058,14,1,15
Q187153,3,5,8
Q187165,22,0,22
Q187189,3,2,5
Q187255,4,4,8
Q187266,26,4,30
Q187269,11,0,11
Q187278,34,2,36
Q187326,4,2,6
Q187364,39,26,65
Q187402,0,5,5
Q187462,16,2,18
Q187520,25,1,26
Q187528,3,1,4
Q187588,1,4,5
Q187726,29,1,30
Q187760,4,60,64
Q187805,9,6,15
Q187814,31,4,35
Q187832,37,3,40
Q187844,35,0,35
Q187851,2,6,8
Q187861,6,0,6
Q187916,2,3,5
Q187939,5,6,11
Q188000,54,1,55
Q188008,6,8,14
Q188017,121,4,125
Q188018,24,12,36
Q188035,22,0,22
Q188094,5,18,23
Q188096,8,1,9
Q188100,8,7,15
Q188111,27,0,27
Q188137,40,19,59
Q188143,4,0,4
Q188159,33,0,33
Q188176,30,12,42
Q188228,6,0,6
Q188235,17,0,17
Q188238,0,7,7
Q188273,8,2,10
Q188277,4,1,5
Q188280,21,5,26
Q188304,8,6,14
Q188313,8,4,12
Q188353,9,0,9
Q188370,13,2,15
Q188375,23,19,42
Q188376,6,2,8
Q188384,39,0,39
Q188385,27,0,27
Q188401,25,3,28
Q188426,30,4,34
Q188430,4,0,4
Q188439,20,1,21
Q188450,2,16,18
Q188451,5,343,348
Q188459,30,3,33
Q188461,21,0,21
Q188464,22,3,25
Q188473,2,486,488
Q188474,25,3,28
Q188482,23,2,25
Q188492,34,13,47
Q188500,14,4,18
Q188509,5,6,11
Q188534,5,4,9
Q188539,7,8,15
Q188553,16,5,21
Q188568,4,0,4
Q188575,1,0,1
Q188586,19,4,23
Q188605,11,16,27
Q188626,10,5,15
Q188648,0,3,3
Q188652,41,3,44
Q188656,4,0,4
Q188668,23,1,24
Q188671,13,4,17
Q188705,7,4,11
Q188712,28,15,43
Q188713,17,11,28
Q188718,42,3,45
Q188724,1,0,1
Q188726,26,17,43
Q188740,10,0,10
Q188759,3,15,18
Q188760,15,5,20
Q188771,11,10,21
Q188772,26,21,47
Q188779,10,1,11
Q188782,3,0,3
Q188784,1,4,5
Q188791,5,0,5
Q188792,18,5,23
Q188800,0,6,6
Q188801,10,10,20
Q188822,10,67,77
Q188840,0,158,158
Q188845,47,2,49
Q188850,30,1,31
Q188874,6,25,31
Q188914,4,26,30
Q188920,12,1,13
Q188936,26,2,28
Q188953,5,2,7
Q188955,26,18,44
