RDF,Out_Degree,In_Degree,Degree
Q752,14,3,17
Q753,22,1,23
Q754,47,15,62
Q756,1,5,6
Q757,40,8,48
Q758,16,0,16
Q759,38,21,59
Q760,48,8,56
Q763,42,7,49
Q766,49,35,84
Q769,41,11,52
Q770,17,4,21
Q771,41,58,99
Q772,9,3,12
Q773,9,5,14
Q774,43,11,54
Q775,15,7,22
Q776,11,5,16
Q778,46,26,72
Q779,32,61,93
Q780,11,1,12
Q781,42,8,50
Q782,19,33,52
Q783,42,8,50
Q784,41,9,50
Q785,19,7,26
Q786,47,8,55
Q790,39,14,53
Q792,39,9,48
Q794,53,49,102
Q796,44,30,74
Q797,32,9,41
Q800,37,11,48
Q801,55,73,128
Q803,15,7,22
Q804,47,14,61
Q805,40,6,46
Q807,17,2,19
Q808,8,0,8
Q809,7,46,53
Q810,43,14,57
Q811,42,7,49
Q812,54,110,164
Q813,47,12,59
Q816,45,103,148
Q817,44,11,55
Q819,38,14,52
Q822,46,25,71
Q824,41,35,76
Q826,34,3,37
Q828,19,22,41
Q829,42,47,89
Q833,58,41,99
Q834,18,6,24
Q836,57,17,74
Q837,63,31,94
Q842,48,11,59
Q843,71,52,123
Q844,7,8,15
Q846,37,12,49
Q847,12,33,45
Q851,57,25,82
Q854,46,21,67
Q855,57,8,65
Q858,54,18,72
Q859,43,23,66
Q863,43,11,54
Q865,43,32,75
Q868,51,22,73
Q869,57,52,109
Q870,3,0,3
Q872,5,8,13
Q873,66,42,108
Q874,35,11,46
Q876,10,0,10
Q878,49,24,73
Q881,52,32,84
Q882,39,9,48
Q884,64,59,123
Q886,52,13,65
Q887,19,1,20
Q889,57,33,90
Q892,68,10,78
Q897,13,3,16
Q900,24,3,27
Q901,7,22,29
Q902,59,23,82
Q905,30,12,42
Q908,16,1,17
Q909,48,4,52
Q912,42,14,56
Q913,30,5,35
Q916,52,4,56
Q917,41,14,55
Q921,49,10,59
Q924,42,11,53
Q928,65,53,118
Q929,40,9,49
Q935,56,4,60
Q937,93,7,100
Q943,11,8,19
Q945,40,9,49
Q948,67,14,81
Q953,52,9,61
Q954,52,12,64
Q956,31,81,112
Q958,30,8,38
Q962,46,9,55
Q963,37,9,46
Q965,45,6,51
Q967,39,4,43
Q970,44,5,49
Q971,39,8,47
Q972,11,2,13
Q974,43,15,58
Q975,20,19,39
Q977,38,9,47
Q980,42,17,59
Q983,42,10,52
Q985,15,22,37
Q986,36,8,44
Q987,12,19,31
Q991,46,13,59
Q994,17,3,20
Q1000,51,8,59
Q1001,45,4,49
Q1004,7,31,38
Q1005,36,6,42
Q1006,44,7,51
Q1007,41,4,45
Q1008,46,9,55
Q1009,51,15,66
Q1011,50,3,53
Q1013,42,8,50
Q1014,42,5,47
Q1016,50,11,61
Q1017,49,5,54
Q1019,42,8,50
Q1020,39,3,42
Q1022,29,8,37
Q1025,41,12,53
Q1026,25,5,30
Q1027,42,5,47
Q1028,45,44,89
Q1029,45,15,60
Q1030,35,10,45
Q1032,46,12,58
Q1033,51,13,64
Q1035,59,7,66
Q1036,39,12,51
Q1037,46,6,52
Q1039,2,4,6
Q1040,27,9,36
Q1041,51,14,65
Q1042,46,6,52
Q1044,40,11,51
Q1045,39,11,50
Q1048,31,8,39
Q1049,46,13,59
Q1050,42,7,49
Q1055,50,18,68
Q1061,29,13,42
Q1063,11,2,13
Q1065,70,230,300
Q1066,12,0,12
Q1067,51,6,57
Q1069,16,5,21
Q1070,18,0,18
Q1071,14,3,17
Q1075,11,20,31
Q1077,31,11,42
Q1079,104,1,105
Q1085,38,50,88
Q1088,10,12,22
Q1093,14,3,17
Q1101,11,5,16
Q1107,7,4,11
Q1114,0,5,5
Q1124,57,9,66
Q1127,0,5,5
Q1129,9,7,16
Q1137,12,4,16
Q1142,24,4,28
Q1152,0,8,8
Q1156,32,118,150
Q1159,17,12,29
Q1162,14,12,26
Q1164,49,32,81
Q1165,34,24,58
Q1166,49,48,97
