Title,Description,MDI,URL,Alias,RDF
Wilt Chamberlain,American basketball player (1936–1999),/m/01lwps,https://en.wikipedia.org/wiki/Wilt_Chamberlain,Wilton Norman Chamberlain|Wilt the Stilt|The Big Dipper|Mr 100|The Record Book|Dippy|The Load|George Marcus|Dip|Big Musty,Q182455
Jane Seymour,third wife of Henry VIII of England,/m/0ck3c,https://en.wikipedia.org/wiki/Jane_Seymour,Seymour Jane,Q182637
Antarctic Treaty System,international treaties concerning Antarctica,/m/0nky,https://en.wikipedia.org/wiki/Antarctic_Treaty_System,ATS|Antarctic Treaty,Q182814
form of state,"form which a state takes, such as monarchy or republic",,https://en.wikipedia.org/wiki/Form_of_state,state form,Q183039
vitamin B,group of vitamins,/m/02bwqz,https://en.wikipedia.org/wiki/B_vitamins,B vitamin|vitamin B complex|Neurobion|B Vitamins,Q183206
New Age,spiritual or religious beliefs and practices that developed in Western nations during the 1970s,/m/05g9_,https://en.wikipedia.org/wiki/New_Age,New Age Movement,Q183308
Khyber Pakhtunkhwa,province of Pakistan,/m/05hwn,https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa,KPK|KP|Sarhad Province,Q183314
territory,area of land under a certain jurisdiction,/m/0g5vqb,https://en.wikipedia.org/wiki/Territory,zone,Q183366
Bratislava Region,region of Slovakia,/m/04_0jh,https://en.wikipedia.org/wiki/Bratislava_Region,Bratislavský kraj,Q183498
Preston,"city and the administrative centre of Lancashire, England",/m/0m7dd,"https://en.wikipedia.org/wiki/Preston,_Lancashire",,Q184090
pampa,"South American fertile, treeless lowland",/m/020qgj,https://en.wikipedia.org/wiki/Pampas,Gaucho pampas|Pampa|pampas,Q184382
Basilica of Saint-Denis,"basilica located in Seine-Saint-Denis, in France",/m/0hkb8,https://en.wikipedia.org/wiki/Basilica_of_Saint-Denis,Basilica of St Denis,Q184407
conservatory,"educational institution specialized in the study, training and research of music",/m/01y64,https://en.wikipedia.org/wiki/Conservatory_of_music,conservatoire|conservatorium|conservatory of music|music conservatory,Q184644
traditional animation,animation technique in which frames are hand-drawn,/m/02hp39,https://en.wikipedia.org/wiki/Traditional_animation,classical animation|hand-drawn animation|drawn animation,Q184781
Gal Gadot,"Israeli actress, producer, and model; Miss Israel 2004",/m/08ygdy,https://en.wikipedia.org/wiki/Gal_Gadot,Gal Gadot-Varsano,Q185654
age of a person,time elapsed since a person was born,/m/0nbh0h1,https://en.wikipedia.org/wiki/Aged,age|human age|person's age,Q185836
Crypto.com Arena,"multi-purpose arena in Los Angeles, California, United States",/m/02kk5s,https://en.wikipedia.org/wiki/Crypto.com_Arena,Staples Center,Q186080
Madison Square Garden,"multi-purpose indoor arena in New York City, located in Midtown Manhattan between 7th and 8th Avenues from 31st to 33rd Streets",/m/0j_66,https://en.wikipedia.org/wiki/Madison_Square_Garden,Madison Square Garden Center|MSG|The Garden,Q186125
Midwestern United States,one of the four U.S. geographic regions,/m/0q76g,https://en.wikipedia.org/wiki/Midwestern_United_States,Midwest|Middle West,Q186545
time loop,plot device in science fiction,/m/02bbg9,https://en.wikipedia.org/wiki/Time_loop,temporal loop|loop,Q186610
14th arrondissement of Paris,one of the arrondissements of the capital city of France,/m/0lz3g,https://en.wikipedia.org/wiki/14th_arrondissement_of_Paris,Arrondissement de l'Observatoire,Q187153
County Cavan,county in Ireland,/m/027j60,https://en.wikipedia.org/wiki/County_Cavan,Cavan|An Cabhán,Q187402
social class,group of people categorized in a hierarchy based on socioeconomic factors,/m/07714,https://en.wikipedia.org/wiki/Social_class,,Q187588
horse racing,equestrian sport in which several horses simultaneously race against each other,/m/0jxxt,https://en.wikipedia.org/wiki/Horse_racing,horseracing,Q187916
epiphyte,non-parasitic plant that grows upon another plant but is not nourished by it,/m/0fx38,https://en.wikipedia.org/wiki/Epiphyte,air plant|epiphytic plants|epiphytic vegetation,Q188238
Hamilton County,"county in Tennessee, United States",/m/0mtdx,"https://en.wikipedia.org/wiki/Hamilton_County,_Tennessee","Hamilton County, Tennessee|Hamilton County, TN",Q188376
music genre,category that identifies pieces of music as belonging to a shared tradition or set of conventions,/m/0518y,https://en.wikipedia.org/wiki/Music_genre,music style|musical genre|musical style|genre of music|style of music,Q188451
suburb,human settlement that is part of/or near to a larger city or town,/m/0750y,https://en.wikipedia.org/wiki/Suburb,suburban area|residential suburb|suburban district|suburbia|automobile suburb|suburban landscape|suburban community|outskirt|suburban settlement|suburban environment|city outskirts,Q188509
